message_id,message_text,message_length,word_count,num_urls,num_digits,num_special_chars,spam_keyword_score,legit_keyword_score,sender_activity_score,sender_account_age_days,messages_sent_last_24h,timestamp,hour_of_day,day_of_week,spam_label
900001,Please find the attached invoice for the updated proposal. Thanks. https://company.portal/docs/6283,99,11,1,4,0,0,1,56.6,500,6,2025-11-24 02:00:00,2,0,0
900002,Let's catch up tomorrow regarding the timeline. next Monday. Let me know.,73,12,0,0,0,0,0,16.6,207,0,2025-12-17 21:00:00,21,2,0
900003,Can you send the report by end of day? next Monday. Please confirm.,67,13,0,0,0,0,1,25.7,418,6,2025-11-15 13:00:00,13,5,0
900004,Can you send the report by end of day? 10:30 AM. Please confirm.,64,13,0,4,0,0,1,48.8,276,5,2025-12-17 23:00:00,23,2,0
900005,Could you review the document and share feedback? the quarterly review. Let me know.,84,14,0,0,0,0,1,33,683,7,2025-11-29 11:00:00,11,5,0
900006,Limited offer! Get free gift cards limited time!,48,8,0,0,2,2,0,72.9,98,20,2025-12-05 09:00:00,9,4,1
900007,Let's catch up tomorrow regarding the timeline. the updated proposal. Let me know.,82,13,0,0,0,0,0,33.5,677,2,2025-12-01 08:00:00,8,0,0
900008,Here are the notes from today's discussion. the quarterly review. Please confirm.,81,12,0,0,0,0,1,76,280,7,2025-12-01 03:00:00,3,0,0
900009,Please find the attached invoice for next Monday. Thanks.,57,9,0,0,0,0,1,46.3,213,6,2025-12-06 08:00:00,8,5,0
900010,Could you review the document and share feedback? Friday evening. Thanks.,73,11,0,0,0,0,1,28.8,209,9,2025-11-17 10:00:00,10,0,0
900011,Let's catch up tomorrow regarding the timeline. the updated proposal. Appreciate it.,84,12,0,0,0,0,0,57.6,348,2,2025-11-24 23:00:00,23,0,0
900012,Reminder: your appointment is confirmed for the quarterly review. Appreciate it. https://company.portal/docs/9237,113,12,1,4,0,0,1,76,397,3,2025-12-12 14:00:00,14,4,0
900013,Let's catch up tomorrow regarding the timeline. 10:30 AM. Let me know.,70,12,0,4,0,0,0,26.7,565,5,2025-12-01 16:00:00,16,0,0
900014,"Hi, can we reschedule our meeting to 10:30 AM. Please confirm.",62,11,0,4,0,0,2,86,213,6,2025-12-21 20:00:00,20,6,0
900015,Payment received successfully for your subscription. 10:30 AM. Appreciate it. https://company.portal/docs/2982,110,11,1,8,0,0,1,72.9,205,7,2025-12-05 08:00:00,8,4,0
900016,Can you send the report by end of day? next Monday. Please confirm.,67,13,0,0,0,0,1,36.3,147,5,2025-11-06 14:00:00,14,3,0
900017,Reminder: your appointment is confirmed for 10:30 AM. Thanks.,61,9,0,4,0,0,1,55.3,223,5,2025-11-11 20:00:00,20,1,0
900018,Earn money from home instantly instant cashback limited time! https://tinyurl.com/8577,86,10,1,4,1,1,0,62.6,114,21,2025-11-13 19:00:00,19,3,1
900019,Thanks for your help on the project update. the updated proposal. Let me know.,78,14,0,0,0,0,1,59.6,201,3,2025-12-09 11:00:00,11,1,0
900020,Here are the notes from today's discussion. the quarterly review. Regards.,74,11,0,0,0,0,1,56.7,221,6,2025-12-20 16:00:00,16,5,0
900021,Here are the notes from today's discussion. the quarterly review. Appreciate it.,80,12,0,0,0,0,1,75.6,308,9,2025-11-07 05:00:00,5,4,0
900022,Thanks for your help on the project update. the quarterly review. Regards.,74,12,0,0,0,0,1,57.8,136,2,2025-11-11 10:00:00,10,1,0
900023,Please find the attached invoice for the quarterly review. Let me know.,71,12,0,0,0,0,1,47.2,330,8,2025-12-07 10:00:00,10,6,0
900024,You've been selected for a cash prize of exclusive bonus today only!,68,12,0,0,1,3,0,61.6,42,21,2025-11-26 11:00:00,11,2,1
900025,Can you send the report by end of day? the updated proposal. Please confirm.,76,14,0,0,0,0,1,79.3,131,4,2025-12-16 22:00:00,22,1,0
900026,Thanks for your help on the project update. Friday evening. Appreciate it.,74,12,0,0,0,0,1,66.6,261,6,2025-12-22 12:00:00,12,0,0
900027,You are eligible for a refund of a brand new phone today only! http://promo.example/5762,88,14,1,4,1,0,0,45.4,23,15,2025-12-14 17:00:00,17,6,1
900028,Reminder: your appointment is confirmed for next Monday. Let me know.,69,11,0,0,0,0,1,23.2,335,5,2025-11-22 00:00:00,0,5,0
900029,Act fast! Your account will be suspended unless free gift cards limited time!,77,13,0,0,2,1,0,55.8,50,14,2025-11-18 20:00:00,20,1,1
900030,Thanks for your help on the project update. Friday evening. Let me know.,72,13,0,0,0,0,1,28.2,733,7,2025-12-21 02:00:00,2,6,0
900031,You've been selected for a cash prize of free gift cards today only!,68,13,0,0,1,3,0,50.7,66,30,2025-12-22 12:00:00,12,0,1
900032,Please find the attached invoice for next Monday. Please confirm.,65,10,0,0,0,0,1,63.4,429,7,2025-12-13 14:00:00,14,5,0
900033,"Hi, can we reschedule our meeting to the updated proposal. Thanks.",66,11,0,0,0,0,2,60.3,198,5,2025-11-21 00:00:00,0,4,0
900034,Limited offer! Get a brand new phone before it expires! http://bit.ly/6083,74,11,1,4,2,1,0,45.3,70,23,2025-11-15 19:00:00,19,5,1
900035,Can you send the report by end of day? the quarterly review. Appreciate it.,75,14,0,0,0,0,1,68.5,184,6,2025-11-19 19:00:00,19,2,0
900036,Please find the attached invoice for Friday evening. Let me know.,65,11,0,0,0,0,1,47.5,464,4,2025-11-22 07:00:00,7,5,0
900037,"URGENT: Claim your reward now ₹50,000 before it expires! https://tinyurl.com/4187",81,10,1,9,1,2,0,45.1,54,20,2025-10-29 04:00:00,4,2,1
900038,Reminder: your appointment is confirmed for 10:30 AM. Appreciate it.,68,10,0,4,0,0,1,69.2,359,7,2025-12-09 07:00:00,7,1,0
900039,Earn money from home instantly exclusive bonus before it expires! http://bit.ly/1768,84,11,1,4,1,1,0,47.6,75,20,2025-11-17 01:00:00,1,0,1
900040,Limited offer! Get a brand new phone ASAP! http://promo.example/9245,68,9,1,4,2,1,0,67.7,119,14,2025-10-31 14:00:00,14,4,1
900041,Your order has been shipped and will arrive by next Monday. Regards.,68,12,0,0,0,0,1,53.5,210,12,2025-10-25 07:00:00,7,5,0
900042,Please find the attached invoice for next Monday. Let me know.,62,11,0,0,0,0,1,,226,11,2025-11-11 01:00:00,1,1,0
900043,Thanks for your help on the project update. 10:30 AM. Please confirm.,69,12,0,4,0,0,1,49,165,10,2025-10-27 01:00:00,1,0,0
900044,Limited offer! Get exclusive bonus ASAP! http://promo.example/9523,66,7,1,4,2,2,0,23.9,31,25,2025-11-15 01:00:00,1,5,1
900045,Reminder: your appointment is confirmed for the updated proposal. Thanks.,73,10,0,0,0,0,1,76.5,527,,2025-12-02 01:00:00,1,1,0
900046,Payment received successfully for your subscription. Friday evening. Thanks.,76,9,0,0,0,0,1,47.5,335,7,2025-12-04 17:00:00,17,3,0
900047,Here are the notes from today's discussion. next Monday. Regards.,65,10,0,0,0,0,1,52.9,181,3,2025-11-20 14:00:00,14,3,0
900048,Thanks for your help on the project update. 10:30 AM. Regards.,62,11,0,4,0,0,1,88.7,321,10,2025-11-02 12:00:00,12,6,0
900049,Can you send the report by end of day? the quarterly review. Appreciate it.,75,14,0,0,0,0,1,54.3,569,5,2025-11-02 04:00:00,4,6,0
900050,Thanks for your help on the project update. next Monday. Appreciate it.,71,12,0,0,0,0,1,56.5,645,3,2025-12-10 22:00:00,22,2,0
900051,"Hi, can we reschedule our meeting to next Monday. Let me know.",62,12,0,0,0,0,2,86.4,41,8,2025-11-26 09:00:00,9,2,0
900052,Get rich quick with this simple trick free gift cards before it expires!,72,13,0,0,1,1,0,75.4,9,18,2025-11-03 15:00:00,15,0,1
900053,"Hi, can we reschedule our meeting to next Monday. Let me know.",62,12,0,0,0,0,2,50,167,7,2025-11-13 04:00:00,4,3,0
900054,Get rich quick with this simple trick instant cashback today only! https://tinyurl.com/1671,91,12,1,4,1,1,0,45.4,169,17,2025-12-18 06:00:00,6,3,1
900055,Let's catch up tomorrow regarding the timeline. next Monday. Appreciate it.,75,11,0,0,0,0,0,62.4,327,8,2025-12-20 21:00:00,21,5,0
900056,Let's catch up tomorrow regarding the timeline. the updated proposal. Please confirm.,85,12,0,0,0,0,0,29.1,293,1,2025-12-19 22:00:00,22,4,0
900057,Reminder: your appointment is confirmed for 10:30 AM. Thanks. https://company.portal/docs/3808,94,10,1,8,0,0,1,53.3,369,7,2025-11-29 21:00:00,21,5,0
900058,You are eligible for a refund of instant cashback now! http://bit.ly/5157,73,11,1,4,1,1,0,,17,20,2025-11-15 14:00:00,14,5,1
900059,"Exclusive deal just for you ₹50,000 before it expires! http://promo.example/4270",80,10,1,9,1,0,0,38.9,98,14,2025-12-04 10:00:00,10,3,1
900060,Your order has been shipped and will arrive by next Monday. Please confirm.,75,13,0,0,0,0,1,47.3,190,8,2025-11-06 10:00:00,10,3,0
900061,Here are the notes from today's discussion. the quarterly review. Thanks. https://company.portal/docs/5165,106,12,1,4,0,0,1,37.5,170,6,2025-10-29 23:00:00,23,2,0
900062,Here are the notes from today's discussion. the updated proposal. Let me know. https://company.portal/docs/3709,111,14,1,4,0,0,1,18.5,277,5,2025-10-28 20:00:00,20,1,0
900063,Let's catch up tomorrow regarding the timeline. Friday evening. Regards.,72,10,0,0,0,0,0,55.2,302,4,2025-10-26 00:00:00,0,6,0
900064,Here are the notes from today's discussion. the updated proposal. Please confirm.,81,12,0,0,0,0,1,43.2,345,3,2025-11-23 16:00:00,16,6,0
900065,Could you review the document and share feedback? the quarterly review. Please confirm.,87,13,0,0,0,0,1,,88,4,2025-11-14 22:00:00,22,4,0
900066,Please find the attached invoice for 10:30 AM. Thanks.,54,9,0,4,0,0,1,81.5,377,6,2025-11-04 05:00:00,5,1,0
900067,Exclusive deal just for you exclusive bonus now! http://bit.ly/8963,67,9,1,4,1,1,0,29.2,66,19,2025-11-23 03:00:00,3,6,1
900068,Here are the notes from today's discussion. 10:30 AM. Thanks.,61,10,0,4,0,0,1,82.1,146,8,2025-11-04 20:00:00,20,1,0
900069,Reminder: your appointment is confirmed for the quarterly review. Appreciate it.,80,11,0,0,0,0,1,55.8,285,6,2025-12-20 14:00:00,14,5,0
900070,You've been selected for a cash prize of exclusive bonus limited time! https://tinyurl.com/2146,95,13,1,4,1,3,0,69.7,90,18,2025-11-24 13:00:00,13,0,1
900071,Your order has been shipped and will arrive by Friday evening. Appreciate it.,77,13,0,0,0,0,1,25.9,564,9,2025-12-14 10:00:00,10,6,0
900072,Your order has been shipped and will arrive by the updated proposal. Let me know.,81,15,0,0,0,0,1,34.4,163,6,2025-12-03 04:00:00,4,2,0
900073,"Hi, can we reschedule our meeting to next Monday. Let me know.",62,12,0,0,0,0,2,52,119,,2025-12-06 03:00:00,3,5,0
900074,Can you send the report by end of day? 10:30 AM. Please confirm.,64,13,0,4,0,0,1,67.2,260,9,2025-12-08 14:00:00,14,0,0
900075,"Hi, can we reschedule our meeting to Friday evening. Let me know.",65,12,0,0,0,0,2,30.5,251,7,2025-11-07 23:00:00,23,4,0
900076,"Hi, can we reschedule our meeting to 10:30 AM. Thanks.",54,10,0,4,0,0,2,49.7,377,6,2025-12-17 01:00:00,1,2,0
900077,Reminder: your appointment is confirmed for next Monday. Appreciate it.,71,10,0,0,0,0,1,34.2,1429,5,2025-12-03 12:00:00,12,2,0
900078,Please find the attached invoice for the updated proposal. Appreciate it.,73,11,0,0,0,0,1,60.6,448,4,2025-10-29 05:00:00,5,2,0
900079,Your order has been shipped and will arrive by Friday evening. Thanks.,70,12,0,0,0,0,1,30.2,129,4,2025-11-28 14:00:00,14,4,0
900080,Congratulations! You have won exclusive bonus today only!,57,8,0,0,2,1,0,50.8,48,19,2025-11-26 18:00:00,18,2,1
900081,Exclusive deal just for you free gift cards today only!,55,10,0,0,1,1,0,46.5,27,8,2025-11-11 23:00:00,23,1,1
900082,Can you send the report by end of day? Friday evening. Regards.,63,12,0,0,0,0,1,54.8,160,9,2025-11-25 18:00:00,18,1,0
900083,Payment received successfully for your subscription. Friday evening. Let me know.,81,11,0,0,0,0,1,57.4,80,7,2025-11-17 00:00:00,0,0,0
900084,URGENT: Claim your reward now a brand new phone before it expires! https://tinyurl.com/9639,91,13,1,4,1,2,0,61.1,80,22,2025-11-29 03:00:00,3,5,1
900085,Act fast! Your account will be suspended unless instant cashback before it expires! https://tinyurl.com/7194,108,14,1,4,2,1,0,45.2,47,14,2025-12-03 18:00:00,18,2,1
900086,Your order has been shipped and will arrive by the quarterly review. Thanks.,76,13,0,0,0,0,1,10.3,369,6,2025-12-21 00:00:00,0,6,0
900087,Reminder: your appointment is confirmed for next Monday. Appreciate it.,71,10,0,0,0,0,1,84.9,146,7,2025-11-19 05:00:00,5,2,0
900088,"Act fast! Your account will be suspended unless ₹50,000 ASAP! https://tinyurl.com/8790",86,11,1,9,2,0,0,59.1,28,19,2025-11-27 12:00:00,12,3,1
900089,Here are the notes from today's discussion. the updated proposal. Let me know.,78,13,0,0,0,0,1,30.3,178,2,2025-12-17 17:00:00,17,2,0
900090,Get rich quick with this simple trick instant cashback now!,59,10,0,0,1,1,0,61,72,18,2025-11-10 16:00:00,16,0,1
900091,Can you send the report by end of day? Friday evening. Regards.,63,12,0,0,0,0,1,76,311,4,2025-11-28 08:00:00,8,4,0
900092,Payment received successfully for your subscription. 10:30 AM. Let me know.,75,11,0,4,0,0,1,47.9,71,4,2025-11-08 22:00:00,22,5,0
900093,URGENT: Claim your reward now instant cashback now!,51,8,0,0,1,3,0,59.1,124,12,2025-11-15 07:00:00,7,5,1
900094,Payment received successfully for your subscription. next Monday. Please confirm.,81,10,0,0,0,0,1,76,392,2,2025-11-16 12:00:00,12,6,0
900095,Could you review the document and share feedback? next Monday. Regards.,71,11,0,0,0,0,1,55.6,343,6,2025-11-05 05:00:00,5,2,0
900096,Payment received successfully for your subscription. 10:30 AM. Regards.,71,9,0,4,0,0,1,52,478,5,2025-11-12 21:00:00,21,2,0
900097,Thanks for your help on the project update. 10:30 AM. Please confirm.,69,12,0,4,0,0,1,68.1,367,9,2025-12-08 08:00:00,8,0,0
900098,"Hi, can we reschedule our meeting to the updated proposal. Let me know.",71,13,0,0,0,0,2,41,396,2,2025-10-28 05:00:00,5,1,0
900099,Let's catch up tomorrow regarding the timeline. Friday evening. Please confirm.,79,11,0,0,0,0,0,45.3,320,,2025-11-03 21:00:00,21,0,0
900100,Let's catch up tomorrow regarding the timeline. Friday evening. Regards.,72,10,0,0,0,0,0,58,510,1,2025-12-15 15:00:00,15,0,0
900101,Let's catch up tomorrow regarding the timeline. the quarterly review. Appreciate it.,84,12,0,0,0,0,0,80.6,291,5,2025-11-18 13:00:00,13,1,0
900102,Could you review the document and share feedback? 10:30 AM. Let me know.,72,13,0,4,0,0,1,52.4,397,6,2025-10-29 02:00:00,2,2,0
900103,Here are the notes from today's discussion. next Monday. Let me know.,69,12,0,0,0,0,1,85.2,125,1,2025-11-29 04:00:00,4,5,0
900104,Limited offer! Get free gift cards limited time! http://promo.example/6721,74,9,1,4,2,2,0,41.1,43,18,2025-11-10 05:00:00,5,0,1
900105,Thanks for your help on the project update. 10:30 AM. Please confirm.,69,12,0,4,0,0,1,46.4,425,9,2025-12-22 07:00:00,7,0,0
900106,Please find the attached invoice for 10:30 AM. Regards.,55,9,0,4,0,0,1,83.2,1109,5,2025-12-11 16:00:00,16,3,0
900107,Can you send the report by end of day? next Monday. Please confirm.,67,13,0,0,0,0,1,70.5,99,4,2025-10-29 11:00:00,11,2,0
900108,"Hi, can we reschedule our meeting to the updated proposal. Thanks. https://company.portal/docs/3286",99,12,1,4,0,0,2,53.5,259,8,2025-10-25 07:00:00,7,5,0
900109,Let's catch up tomorrow regarding the timeline. the updated proposal. Please confirm.,85,12,0,0,0,0,0,67.9,383,4,2025-12-10 20:00:00,20,2,0
900110,Payment received successfully for your subscription. Friday evening. Appreciate it.,83,10,0,0,0,0,1,37.9,127,7,2025-11-01 17:00:00,17,5,0
